	A,After,All,Although,American,An,And,think,this,thought,time,to,told,ought,place,see,seen,shall,should,so,no,not,of,on,one,or,took,upon,was,we,were,what,struck,that,the,there,these,they,me,meeting,must,my,myself,never,is,it,know,long,man,may,he,her,him,his,if,in,and,are,as,at,be,been,for,from,give,had,has,have,God,He,His,History,How,I,when,will,with,would,you,your,As,At,But,Court,Even,For,From,by,can,certain,could,do,doubt,first,University,a,all,also,am,an
thought	232563,232563,191362,191362,207259,207259,201945,201945,227242,227242,206826,206826,197395,197395,193758,193758,571241,571241,281149,281149,206295,206295,190604,190604,182019,182019,200238,200238,201511,201511,314731,314731,201978,201978,211751,211751,219461,219461,2375163,2375163,225139,225139,618974,618974,191679,191679,196878,196878,260234,260234,199606,199606,264605,264605,194508,194508,194196,194196,173467,173467,214270,214270,177006,177006,214469,214469,193961,193961,230147,230147,176491,176491,196619,196619,1251595,1251595,218939,218939,193220,193220,182490,182490,203396,203396,0,0,192699,192699,1452051,1452051,184032,184032,191879,191879,176644,176644,185268,185268,190190,190190,315164,315164,211664,211664,234047,234047,193806,193806,211601,211601,208412,208412,197248,197248,202654,202654,569324,569324,193458,193458,182457,182457,215960,215960,191693,191693,1281829,1281829,366378,366378,1013812,1013812,178831,178831,192364,192364,201971,201971,250696,250696,227369,227369,193813,193813,198684,198684,192533,192533,190356,190356,200810,200810,214798,214798,1422364,1422364,1360557,1360557,204358,204358,203783,203783,190089,190089,184378,184378,208876,208876,187239,187239,188530,188530,453962,453962,203651,203651,214383,214383,219086,219086,174189,174189,196275,196275,194681,194681,204047,204047,208470,208470,197595,197595,176274,176274,215502,215502,194071,194071,203641,203641
time	232563,232563,191362,191362,207259,207259,201945,201945,227242,227242,206826,206826,197395,197395,193758,193758,571241,571241,281149,281149,206295,206295,190604,190604,182019,182019,200238,200238,201511,201511,314731,314731,201978,201978,211751,211751,219461,219461,2375163,2375163,225139,225139,618974,618974,191679,191679,196878,196878,260234,260234,199606,199606,264605,264605,194508,194508,194196,194196,173467,173467,214270,214270,177006,177006,214469,214469,193961,193961,230147,230147,176491,176491,196619,196619,1251595,1251595,218939,218939,193220,193220,182490,182490,203396,203396,0,0,192699,192699,1452051,1452051,184032,184032,191879,191879,176644,176644,185268,185268,190190,190190,315164,315164,211664,211664,234047,234047,193806,193806,211601,211601,208412,208412,197248,197248,202654,202654,569324,569324,193458,193458,182457,182457,215960,215960,191693,191693,1281829,1281829,366378,366378,1013812,1013812,178831,178831,192364,192364,201971,201971,250696,250696,227369,227369,193813,193813,198684,198684,192533,192533,190356,190356,200810,200810,214798,214798,1422364,1422364,1360557,1360557,204358,204358,203783,203783,190089,190089,184378,184378,208876,208876,187239,187239,188530,188530,453962,453962,203651,203651,214383,214383,219086,219086,174189,174189,196275,196275,194681,194681,204047,204047,208470,208470,197595,197595,176274,176274,215502,215502,194071,194071,203641,203641
to	127700,127700,45485,45485,56244,56244,59582,59582,78071,78071,48453,48453,110256,110256,102245,102245,479142,479142,302660,302660,48036,48036,52211,52211,68224,68224,63555,63555,51580,51580,301964,301964,53003,53003,56082,56082,71290,71290,2498968,2498968,69770,69770,659511,659511,45938,45938,47573,47573,228767,228767,56261,56261,184424,184424,50651,50651,60903,60903,78662,78662,102475,102475,111295,111295,122762,122762,59014,59014,113464,113464,81494,81494,96042,96042,1179638,1179638,89110,89110,92385,92385,49243,49243,52389,52389,192699,192699,0,0,1498996,1498996,91701,91701,48878,48878,66265,66265,57713,57713,68407,68407,314775,314775,146921,146921,210162,210162,49915,49915,66232,66232,48073,48073,57273,57273,44135,44135,446177,446177,52047,52047,75290,75290,95237,95237,58768,58768,1214092,1214092,365793,365793,1065087,1065087,75444,75444,64425,64425,40202,40202,169413,169413,85904,85904,56308,56308,60615,60615,58444,58444,57023,57023,81297,81297,87001,87001,1450977,1450977,1489148,1489148,81835,81835,51544,51544,66098,66098,77891,77891,112695,112695,62690,62690,90057,90057,503769,503769,76226,76226,66002,66002,70035,70035,185226,185226,68752,68752,42644,42644,60948,60948,53213,53213,60044,60044,105765,105765,90677,90677,155414,155414,53196,53196
told	127700,127700,45485,45485,56244,56244,59582,59582,78071,78071,48453,48453,110256,110256,102245,102245,479142,479142,302660,302660,48036,48036,52211,52211,68224,68224,63555,63555,51580,51580,301964,301964,53003,53003,56082,56082,71290,71290,2498968,2498968,69770,69770,659511,659511,45938,45938,47573,47573,228767,228767,56261,56261,184424,184424,50651,50651,60903,60903,78662,78662,102475,102475,111295,111295,122762,122762,59014,59014,113464,113464,81494,81494,96042,96042,1179638,1179638,89110,89110,92385,92385,49243,49243,52389,52389,192699,192699,0,0,1498996,1498996,91701,91701,48878,48878,66265,66265,57713,57713,68407,68407,314775,314775,146921,146921,210162,210162,49915,49915,66232,66232,48073,48073,57273,57273,44135,44135,446177,446177,52047,52047,75290,75290,95237,95237,58768,58768,1214092,1214092,365793,365793,1065087,1065087,75444,75444,64425,64425,40202,40202,169413,169413,85904,85904,56308,56308,60615,60615,58444,58444,57023,57023,81297,81297,87001,87001,1450977,1450977,1489148,1489148,81835,81835,51544,51544,66098,66098,77891,77891,112695,112695,62690,62690,90057,90057,503769,503769,76226,76226,66002,66002,70035,70035,185226,185226,68752,68752,42644,42644,60948,60948,53213,53213,60044,60044,105765,105765,90677,90677,155414,155414,53196,53196
took	1522792,1522792,1496005,1496005,1502012,1502012,1505752,1505752,1521777,1521777,1509207,1509207,1481812,1481812,1518761,1518761,1897262,1897262,1552760,1552760,1508802,1508802,1505815,1505815,1489842,1489842,1495005,1495005,1499528,1499528,1584452,1584452,1499409,1499409,1512800,1512800,1504204,1504204,1731474,1731474,1521152,1521152,1977445,1977445,1493552,1493552,1501039,1501039,1409771,1409771,1497621,1497621,1552804,1552804,1495791,1495791,1488563,1488563,1494098,1494098,1489885,1489885,1505093,1505093,1518220,1518220,1491296,1491296,1473282,1473282,1477798,1477798,1458914,1458914,941426,941426,1519464,1519464,1492075,1492075,1489515,1489515,1500517,1500517,1452051,1452051,1498996,1498996,0,0,1514453,1514453,1494132,1494132,1484451,1484451,1493107,1493107,1503013,1503013,1633353,1633353,1516461,1516461,1507376,1507376,1490991,1490991,1508216,1508216,1515345,1515345,1499991,1499991,1500699,1500699,1885179,1885179,1497507,1497507,1483716,1483716,1510269,1510269,1486484,1486484,938942,938942,1419481,1419481,2356523,2356523,1478958,1478958,1496387,1496387,1505730,1505730,1444685,1444685,1521032,1521032,1490944,1490944,1500365,1500365,1500444,1500444,1494449,1494449,1498019,1498019,1514753,1514753,938387,938387,2539476,2539476,1510441,1510441,1505402,1505402,1508338,1508338,1479219,1479219,1509207,1509207,1491438,1491438,1494815,1494815,1478491,1478491,1493106,1493106,1509056,1509056,1513209,1513209,1517326,1517326,1504160,1504160,1502240,1502240,1494224,1494224,1499741,1499741,1491434,1491434,1474339,1474339,1506319,1506319,1474822,1474822,1503440,1503440
upon	1522792,1522792,1496005,1496005,1502012,1502012,1505752,1505752,1521777,1521777,1509207,1509207,1481812,1481812,1518761,1518761,1897262,1897262,1552760,1552760,1508802,1508802,1505815,1505815,1489842,1489842,1495005,1495005,1499528,1499528,1584452,1584452,1499409,1499409,1512800,1512800,1504204,1504204,1731474,1731474,1521152,1521152,1977445,1977445,1493552,1493552,1501039,1501039,1409771,1409771,1497621,1497621,1552804,1552804,1495791,1495791,1488563,1488563,1494098,1494098,1489885,1489885,1505093,1505093,1518220,1518220,1491296,1491296,1473282,1473282,1477798,1477798,1458914,1458914,941426,941426,1519464,1519464,1492075,1492075,1489515,1489515,1500517,1500517,1452051,1452051,1498996,1498996,0,0,1514453,1514453,1494132,1494132,1484451,1484451,1493107,1493107,1503013,1503013,1633353,1633353,1516461,1516461,1507376,1507376,1490991,1490991,1508216,1508216,1515345,1515345,1499991,1499991,1500699,1500699,1885179,1885179,1497507,1497507,1483716,1483716,1510269,1510269,1486484,1486484,938942,938942,1419481,1419481,2356523,2356523,1478958,1478958,1496387,1496387,1505730,1505730,1444685,1444685,1521032,1521032,1490944,1490944,1500365,1500365,1500444,1500444,1494449,1494449,1498019,1498019,1514753,1514753,938387,938387,2539476,2539476,1510441,1510441,1505402,1505402,1508338,1508338,1479219,1479219,1509207,1509207,1491438,1491438,1494815,1494815,1478491,1478491,1493106,1493106,1509056,1509056,1513209,1513209,1517326,1517326,1504160,1504160,1502240,1502240,1494224,1494224,1499741,1499741,1491434,1491434,1474339,1474339,1506319,1506319,1474822,1474822,1503440,1503440
was	155219,155219,92930,92930,106367,106367,113599,113599,131502,131502,103166,103166,131647,131647,121512,121512,497359,497359,289937,289937,105849,105849,91290,91290,99437,99437,117286,117286,102689,102689,284799,284799,91204,91204,115863,115863,114983,114983,2453109,2453109,126387,126387,619464,619464,89135,89135,88184,88184,272176,272176,95272,95272,206803,206803,91402,91402,90222,90222,99681,99681,131250,131250,137918,137918,148709,148709,103919,103919,161289,161289,109473,109473,140551,140551,1227453,1227453,124939,124939,113812,113812,87288,87288,105070,105070,184032,184032,91701,91701,1514453,1514453,0,0,93043,93043,97104,97104,84920,84920,94516,94516,296206,296206,149156,149156,186729,186729,93634,93634,105777,105777,94126,94126,102398,102398,92924,92924,493760,493760,96812,96812,107513,107513,135978,135978,99343,99343,1242903,1242903,358680,358680,1018216,1018216,113537,113537,92200,92200,94767,94767,224170,224170,131731,131731,95495,95495,101642,101642,103923,103923,105570,105570,107772,107772,139244,139244,1419786,1419786,1434383,1434383,96836,96836,100913,100913,80429,80429,111710,111710,121202,121202,92681,92681,117658,117658,470572,470572,117795,117795,118261,118261,120540,120540,164865,164865,83647,83647,92491,92491,91911,91911,94192,94192,103035,103035,106898,106898,117198,117198,170283,170283,97243,97243
we	155219,155219,92930,92930,106367,106367,113599,113599,131502,131502,103166,103166,131647,131647,121512,121512,497359,497359,289937,289937,105849,105849,91290,91290,99437,99437,117286,117286,102689,102689,284799,284799,91204,91204,115863,115863,114983,114983,2453109,2453109,126387,126387,619464,619464,89135,89135,88184,88184,272176,272176,95272,95272,206803,206803,91402,91402,90222,90222,99681,99681,131250,131250,137918,137918,148709,148709,103919,103919,161289,161289,109473,109473,140551,140551,1227453,1227453,124939,124939,113812,113812,87288,87288,105070,105070,184032,184032,91701,91701,1514453,1514453,0,0,93043,93043,97104,97104,84920,84920,94516,94516,296206,296206,149156,149156,186729,186729,93634,93634,105777,105777,94126,94126,102398,102398,92924,92924,493760,493760,96812,96812,107513,107513,135978,135978,99343,99343,1242903,1242903,358680,358680,1018216,1018216,113537,113537,92200,92200,94767,94767,224170,224170,131731,131731,95495,95495,101642,101642,103923,103923,105570,105570,107772,107772,139244,139244,1419786,1419786,1434383,1434383,96836,96836,100913,100913,80429,80429,111710,111710,121202,121202,92681,92681,117658,117658,470572,470572,117795,117795,118261,118261,120540,120540,164865,164865,83647,83647,92491,92491,91911,91911,94192,94192,103035,103035,106898,106898,117198,117198,170283,170283,97243,97243
were	109760,109760,38329,38329,44604,44604,53126,53126,64617,64617,37985,37985,103092,103092,98595,98595,476552,476552,297610,297610,45210,45210,39807,39807,58266,58266,58841,58841,54122,54122,296960,296960,43925,43925,46062,46062,60256,60256,2492288,2492288,56552,56552,658401,658401,25356,25356,28541,28541,218265,218265,29869,29869,173156,173156,39929,39929,43493,43493,57872,57872,90617,90617,97091,97091,108092,108092,42294,42294,94700,94700,65976,65976,80292,80292,1158694,1158694,78866,78866,75345,75345,31595,31595,32973,32973,191879,191879,48878,48878,1494132,1494132,93043,93043,0,0,42927,42927,43085,43085,57917,57917,308025,308025,155859,155859,198456,198456,36503,36503,52054,52054,50055,50055,41451,41451,32749,32749,440189,440189,29497,29497,46840,46840,72115,72115,30012,30012,1196614,1196614,358421,358421,1062851,1062851,55428,55428,46457,46457,34004,34004,151499,151499,75132,75132,40124,40124,35935,35935,33742,33742,38267,38267,50243,50243,67079,67079,1440537,1440537,1498190,1498190,69773,69773,37444,37444,53332,53332,65795,65795,101883,101883,44294,44294,89857,89857,512149,512149,51222,51222,45130,45130,48973,48973,183604,183604,56722,56722,32346,32346,39542,39542,40081,40081,43138,43138,93619,93619,74669,74669,145120,145120,25790,25790
what	109760,109760,38329,38329,44604,44604,53126,53126,64617,64617,37985,37985,103092,103092,98595,98595,476552,476552,297610,297610,45210,45210,39807,39807,58266,58266,58841,58841,54122,54122,296960,296960,43925,43925,46062,46062,60256,60256,2492288,2492288,56552,56552,658401,658401,25356,25356,28541,28541,218265,218265,29869,29869,173156,173156,39929,39929,43493,43493,57872,57872,90617,90617,97091,97091,108092,108092,42294,42294,94700,94700,65976,65976,80292,80292,1158694,1158694,78866,78866,75345,75345,31595,31595,32973,32973,191879,191879,48878,48878,1494132,1494132,93043,93043,0,0,42927,42927,43085,43085,57917,57917,308025,308025,155859,155859,198456,198456,36503,36503,52054,52054,50055,50055,41451,41451,32749,32749,440189,440189,29497,29497,46840,46840,72115,72115,30012,30012,1196614,1196614,358421,358421,1062851,1062851,55428,55428,46457,46457,34004,34004,151499,151499,75132,75132,40124,40124,35935,35935,33742,33742,38267,38267,50243,50243,67079,67079,1440537,1440537,1498190,1498190,69773,69773,37444,37444,53332,53332,65795,65795,101883,101883,44294,44294,89857,89857,512149,512149,51222,51222,45130,45130,48973,48973,183604,183604,56722,56722,32346,32346,39542,39542,40081,40081,43138,43138,93619,93619,74669,74669,145120,145120,25790,25790
when	120723,120723,60156,60156,69753,69753,77843,77843,85916,85916,61898,61898,113193,113193,98488,98488,489315,489315,282777,282777,69719,69719,62526,62526,68459,68459,82802,82802,71049,71049,292439,292439,59514,59514,69403,69403,83565,83565,2475769,2475769,77417,77417,652506,652506,54105,54105,46306,46306,219322,219322,52978,52978,169097,169097,65072,65072,59806,59806,74733,74733,101910,101910,96456,96456,122001,122001,49891,49891,102497,102497,70425,70425,84781,84781,1167505,1167505,99659,99659,85478,85478,52428,52428,43874,43874,176644,176644,66265,66265,1484451,1484451,97104,97104,42927,42927,0,0,57358,57358,77790,77790,298380,298380,156486,156486,199973,199973,46736,46736,71813,71813,60114,60114,59022,59022,50040,50040,452378,452378,48642,48642,54231,54231,79074,79074,47095,47095,1199217,1199217,357736,357736,1045664,1045664,71385,71385,69070,69070,57583,57583,155282,155282,93273,93273,53445,53445,51502,51502,48101,48101,48342,48342,56334,56334,76060,76060,1429120,1429120,1477705,1477705,91888,91888,63423,63423,75433,75433,74324,74324,113614,113614,53633,53633,110256,110256,496870,496870,58357,58357,62057,62057,65416,65416,175135,175135,77401,77401,58833,58833,62019,62019,65436,65436,62271,62271,84194,84194,92504,92504,136971,136971,47961,47961
will	120723,120723,60156,60156,69753,69753,77843,77843,85916,85916,61898,61898,113193,113193,98488,98488,489315,489315,282777,282777,69719,69719,62526,62526,68459,68459,82802,82802,71049,71049,292439,292439,59514,59514,69403,69403,83565,83565,2475769,2475769,77417,77417,652506,652506,54105,54105,46306,46306,219322,219322,52978,52978,169097,169097,65072,65072,59806,59806,74733,74733,101910,101910,96456,96456,122001,122001,49891,49891,102497,102497,70425,70425,84781,84781,1167505,1167505,99659,99659,85478,85478,52428,52428,43874,43874,176644,176644,66265,66265,1484451,1484451,97104,97104,42927,42927,0,0,57358,57358,77790,77790,298380,298380,156486,156486,199973,199973,46736,46736,71813,71813,60114,60114,59022,59022,50040,50040,452378,452378,48642,48642,54231,54231,79074,79074,47095,47095,1199217,1199217,357736,357736,1045664,1045664,71385,71385,69070,69070,57583,57583,155282,155282,93273,93273,53445,53445,51502,51502,48101,48101,48342,48342,56334,56334,76060,76060,1429120,1429120,1477705,1477705,91888,91888,63423,63423,75433,75433,74324,74324,113614,113614,53633,53633,110256,110256,496870,496870,58357,58357,62057,62057,65416,65416,175135,175135,77401,77401,58833,58833,62019,62019,65436,65436,62271,62271,84194,84194,92504,92504,136971,136971,47961,47961
with	115579,115579,50326,50326,56461,56461,63673,63673,72896,72896,51232,51232,100223,100223,102122,102122,484841,484841,295159,295159,59337,59337,54558,54558,62033,62033,72446,72446,54425,54425,287987,287987,44634,44634,59749,59749,76553,76553,2485763,2485763,68609,68609,639250,639250,34049,34049,45186,45186,226564,226564,46666,46666,168185,168185,50104,50104,56752,56752,57941,57941,98326,98326,119478,119478,128217,128217,59781,59781,117909,117909,84551,84551,95707,95707,1186469,1186469,90191,90191,83506,83506,45732,45732,58766,58766,185268,185268,57713,57713,1493107,1493107,84920,84920,43085,43085,57358,57358,0,0,73600,73600,294916,294916,142642,142642,201691,201691,58162,58162,70649,70649,58724,58724,62056,62056,41990,41990,455534,455534,53582,53582,60877,60877,94136,94136,51441,51441,1214811,1214811,354072,354072,1045488,1045488,67761,67761,56816,56816,49675,49675,171502,171502,87981,87981,60675,60675,59900,59900,56857,56857,57626,57626,66940,66940,93184,93184,1431192,1431192,1476701,1476701,85352,85352,50733,50733,67845,67845,80136,80136,101362,101362,60957,60957,101254,101254,491404,491404,76935,76935,67663,67663,68452,68452,170705,170705,66237,66237,45545,45545,56793,56793,51894,51894,60765,60765,92824,92824,86686,86686,151579,151579,50205,50205
would	115579,115579,50326,50326,56461,56461,63673,63673,72896,72896,51232,51232,100223,100223,102122,102122,484841,484841,295159,295159,59337,59337,54558,54558,62033,62033,72446,72446,54425,54425,287987,287987,44634,44634,59749,59749,76553,76553,2485763,2485763,68609,68609,639250,639250,34049,34049,45186,45186,226564,226564,46666,46666,168185,168185,50104,50104,56752,56752,57941,57941,98326,98326,119478,119478,128217,128217,59781,59781,117909,117909,84551,84551,95707,95707,1186469,1186469,90191,90191,83506,83506,45732,45732,58766,58766,185268,185268,57713,57713,1493107,1493107,84920,84920,43085,43085,57358,57358,0,0,73600,73600,294916,294916,142642,142642,201691,201691,58162,58162,70649,70649,58724,58724,62056,62056,41990,41990,455534,455534,53582,53582,60877,60877,94136,94136,51441,51441,1214811,1214811,354072,354072,1045488,1045488,67761,67761,56816,56816,49675,49675,171502,171502,87981,87981,60675,60675,59900,59900,56857,56857,57626,57626,66940,66940,93184,93184,1431192,1431192,1476701,1476701,85352,85352,50733,50733,67845,67845,80136,80136,101362,101362,60957,60957,101254,101254,491404,491404,76935,76935,67663,67663,68452,68452,170705,170705,66237,66237,45545,45545,56793,56793,51894,51894,60765,60765,92824,92824,86686,86686,151579,151579,50205,50205
you	139141,139141,59406,59406,64635,64635,72315,72315,94156,94156,64966,64966,118919,118919,116832,116832,482723,482723,289803,289803,70241,70241,47216,47216,72915,72915,78810,78810,77813,77813,310381,310381,69464,69464,74365,74365,78725,78725,2467181,2467181,85979,85979,652418,652418,56445,56445,57092,57092,241448,241448,59686,59686,201075,201075,56302,56302,65748,65748,83931,83931,109030,109030,102402,102402,120171,120171,61479,61479,114789,114789,79367,79367,97099,97099,1182283,1182283,91333,91333,95248,95248,63502,63502,57896,57896,190190,190190,68407,68407,1503013,1503013,94516,94516,57917,57917,77790,77790,73600,73600,0,0,317778,317778,168772,168772,206375,206375,52266,52266,78263,78263,77262,77262,59094,59094,61374,61374,465894,465894,51940,51940,71809,71809,100554,100554,58787,58787,1206771,1206771,355020,355020,1066080,1066080,84741,84741,63160,63160,55727,55727,175424,175424,88995,88995,53507,53507,57866,57866,55817,55817,61890,61890,69550,69550,89464,89464,1429506,1429506,1473417,1473417,72078,72078,57469,57469,63889,63889,64320,64320,107006,107006,63509,63509,95964,95964,501038,501038,73881,73881,72813,72813,71144,71144,203217,203217,63611,63611,52513,52513,53163,53163,55074,55074,55345,55345,96204,96204,85072,85072,156519,156519,49969,49969
your	139141,139141,59406,59406,64635,64635,72315,72315,94156,94156,64966,64966,118919,118919,116832,116832,482723,482723,289803,289803,70241,70241,47216,47216,72915,72915,78810,78810,77813,77813,310381,310381,69464,69464,74365,74365,78725,78725,2467181,2467181,85979,85979,652418,652418,56445,56445,57092,57092,241448,241448,59686,59686,201075,201075,56302,56302,65748,65748,83931,83931,109030,109030,102402,102402,120171,120171,61479,61479,114789,114789,79367,79367,97099,97099,1182283,1182283,91333,91333,95248,95248,63502,63502,57896,57896,190190,190190,68407,68407,1503013,1503013,94516,94516,57917,57917,77790,77790,73600,73600,0,0,317778,317778,168772,168772,206375,206375,52266,52266,78263,78263,77262,77262,59094,59094,61374,61374,465894,465894,51940,51940,71809,71809,100554,100554,58787,58787,1206771,1206771,355020,355020,1066080,1066080,84741,84741,63160,63160,55727,55727,175424,175424,88995,88995,53507,53507,57866,57866,55817,55817,61890,61890,69550,69550,89464,89464,1429506,1429506,1473417,1473417,72078,72078,57469,57469,63889,63889,64320,64320,107006,107006,63509,63509,95964,95964,501038,501038,73881,73881,72813,72813,71144,71144,203217,203217,63611,63611,52513,52513,53163,53163,55074,55074,55345,55345,96204,96204,85072,85072,156519,156519,49969,49969
